RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022
102001,0,United States,country,,127845,128190,128554,129295,130042,130787,131547,132357,133184,134017,134857,135717,136520,137259,138009,138810,139636,140446,141262,142106,142942,143783,144553,145289,145960,146660,147399,148180,149013,149890,150841,151834,152816,153802,154733,155660,156506,157369,158254,159210,160234,161254,162318,163443,164632,165820,166893,167918,168938,170110,171418,172849,174431,176115,177908,179671,181389,183024,184552,186105,187630,189232,190895,192804,194792,196863,198911,200973,202965,204816,206472,207955,209209,210422,211689,213062,214370,215470,216274,216881,217220,217464,217541,217585,217567,217586,217594,217612,217453,217100,216488,215842,215054,214233,213201,212159,210914,209566,208058,206482,204893,203214,201414,199360,197353,195423,193518,191618,189767,188317,186956,185690,184382,183187,182114,181079,180122,179378,179037,178894,178823,178715,178725,178892,178963,178751,178034,177083,175958,174864,173742,172726,171767,170906,170092,169237,168348,167502,166834,166249,165734,165192,164741,164334,164105,163995,164164,164489,164968,165421,165886,166327,166818,167400,168112,168912,169887,170978,172224,173483,174822,176187,177554,178822,180030,181189,182272,183308,184336,185394,186269,186987,187641,188312,188902,189309,189690,190180,190827,191558,192298,193121,194029,194973,195910,196718,197429,198110,198838,199600,200336,201209,202181,203238,204162,205156,206117,207093,207967,208804,209680,210623,211684,212778,213878,215004,216172,217420,218614,219758,220759,221763,222862,224072,225344,226647,227944,229321,230660,231984,233206,234324,235362,236344,237325,238295,239273,240271,241295,242240,243052,243754,244403,245007,245562,246123,246759,247476,248215,249046,250035,251185,252476,253703,254554,255264,256368,258293,260815,263648,266687,269746,272994,276367,280041,283921,288652,294208,300120,305543,310190,314307,318211,322565,327288,332493,337752,343294,348315,352484,354884,355924,356279,356785,357296,357319
394913,1,"New York, NY",msa,NY,222885,224217,225415,227774,229970,232308,234765,237308,239859,242383,244808,247080,249266,251672,254025,256480,258809,261326,263774,266423,269105,272064,274789,277419,280075,282662,285182,287612,290182,293097,296236,300115,304176,308231,311828,315467,319128,322890,326925,330679,334511,338182,342066,345805,349211,352387,355353,358246,361496,364736,368207,371551,375548,379820,384555,389279,394178,399033,403614,407807,411769,415693,419781,424666,429877,435013,439739,444488,449328,454288,458652,462944,466608,470452,473482,476284,478647,480950,482401,482844,482305,480955,479249,477390,475744,474601,474659,474454,474231,472633,470800,468972,467005,465762,464292,462886,461563,460085,458075,455868,452561,449563,446178,443217,440014,436497,432844,429458,425830,422398,419089,415856,413230,410436,407910,405080,402974,401388,400485,399914,399807,400096,399916,399871,399567,400147,400552,400604,399841,398339,396497,394384,393031,391952,391457,390309,389092,387293,385652,383977,382381,380746,378961,377430,376015,374732,373674,372975,372709,372679,372470,372142,371766,371476,371632,372057,372716,373603,374706,376421,378393,380289,381993,383450,384995,386693,388475,390035,391887,393556,395505,397210,398901,400299,401143,401746,402257,402733,403152,403794,404491,405491,406192,407402,408496,409766,410466,410826,411238,411728,412970,413905,414653,415267,416353,418029,419599,420832,421785,422626,423558,424673,425955,427368,429241,430869,432947,434637,437206,439422,441763,443650,445472,447170,448816,450500,452603,455191,458114,461116,463471,465112,465816,466512,467682,469364,471195,472746,473752,474622,475512,476507,477188,477384,477353,477082,476620,476087,475794,476328,477350,478816,480224,481705,482509,483061,484268,486838,491311,496758,502742,508526,513334,518042,522380,527090,532566,539686,547566,555112,560978,565498,569029,572245,576176,580779,587159,594234,601691,607653,611940,614208,615185,615662,616681,617849
753899,2,"Los Angeles, CA",msa,CA,230273,231075,232303,234638,237142,239506,241927,244468,246887,249101,251149,253307,254965,256762,258676,261344,263961,266374,268842,271416,274084,276730,279035,281459,283459,285815,288622,292192,296252,300395,305608,311038,316566,321502,326404,331247,335325,339091,343258,347916,353722,358314,364308,370572,377998,384124,390078,396026,403027,410700,419395,429398,441663,453741,464448,473284,482181,490932,496709,502650,507947,515320,523060,531014,538668,545856,554317,563328,572585,581989,588344,594916,600478,605912,610858,614991,620195,624119,625360,626786,625023,625174,623956,624000,624159,623858,622768,620847,617390,614198,608266,601842,593964,586505,580879,573813,567495,557976,547576,533597,519290,506098,494125,483549,476049,468595,460547,449841,442201,438053,435088,432069,429068,425404,422880,421221,421323,421992,424875,429659,431589,431076,431341,434280,438011,437255,434677,429989,425886,421799,418091,416772,416060,416459,414703,412939,408040,406840,405652,403678,399286,395200,394753,394977,394360,393623,392949,393461,394538,396207,398793,400825,403212,406867,411213,417634,423944,433120,442112,451928,460007,468437,475784,483515,490011,495174,500887,505924,511585,514052,515023,514314,514339,514480,515322,513888,513430,513915,517088,520852,525427,530345,534192,535597,537501,539456,540645,542052,544061,548354,551704,557500,561396,565652,567428,570644,573762,576655,577402,579023,581273,585812,589529,592346,596782,599829,603174,604737,607905,611658,613208,614901,617094,621846,627753,632915,637807,642961,647966,652497,655037,657892,658322,659196,659644,662889,664735,664226,663070,660929,659592,659162,660127,661140,660209,660930,663633,667917,669921,671724,674688,680761,687695,692798,690896,688007,689742,698877,709449,719374,726834,733144,738260,745719,753559,764560,780165,799894,820713,834105,843180,847920,855097,864359,875098,887387,904811,923996,940540,941881,938738,924623,914991,905397,900776,897894
394463,3,"Chicago, IL",msa,IL,167528,167923,168434,169458,170543,171618,172808,174143,175522,176879,178111,179316,180445,181443,182576,183690,185061,186330,187612,188910,190220,191620,192783,193834,194731,195775,197035,198094,199280,200365,201821,203307,204745,206066,207013,208155,209257,210595,211799,213177,214362,215445,216448,217738,219192,220567,221784,222873,224195,225452,226742,228189,229784,231634,233303,235007,236441,237947,239451,241167,242750,244434,246077,247961,249920,251918,253752,255494,257369,259209,260792,262313,263789,265252,266735,268017,269431,270236,270920,271376,271730,271880,271960,272222,272795,273341,273699,273642,273328,272838,272192,271510,270429,269372,268363,267140,265904,,,259645,,256365,255401,252041,249989,246330,243407,239502,235200,232203,229036,227780,225538,224178,222604,221182,218737,216579,214456,213824,212716,212428,210932,211507,210742,211491,208993,207615,204912,203221,200333,197855,195609,193869,192766,191205,190525,189086,188661,187305,186170,183747,182351,180114,179037,176923,176777,176458,176910,176788,175984,175169,174214,174559,174943,175250,175971,177034,178008,179290,180511,182566,184217,186250,187831,189977,190940,192264,192995,194474,195240,195698,196362,197448,198312,198521,198846,199097,199548,200072,200559,201186,202072,203336,204286,204333,204299,204125,204144,204137,204362,205202,206271,208062,209382,210335,210791,211155,211772,212216,212667,213165,214175,215652,217482,219150,220917,222186,223136,223279,223356,223513,224154,225044,226166,227580,229157,230491,231279,231756,232201,232628,233033,233327,233965,234460,235222,235831,236357,237087,237545,238045,238102,238031,237992,237924,237920,237814,237822,238031,238505,239103,239625,239750,239585,239556,240552,242191,245031,247844,250602,252793,254301,256589,258670,261666,264377,268140,272244,276298,279325,281945,284601,287280,289877,292406,295653,299069,302975,305916,307737,308055,308352,308969,309456,308959
394514,4,"Dallas, TX",msa,TX,128766,128869,128955,129164,129383,129566,129763,130126,130576,131099,131578,132066,132276,131958,131680,131563,131778,131844,131915,132206,132431,132631,132680,132825,132964,133255,133624,134162,134651,135330,135936,136567,137018,137429,137816,138175,138443,138584,138769,138964,139144,139336,139398,139564,139733,140002,140210,140221,140972,142446,,146714,147758,148102,148241,148620,148958,149324,149552,149726,150435,150768,151155,151299,151760,152225,152490,152805,153135,153142,153241,153096,153110,153340,153655,154256,154902,155523,155843,155956,156189,156949,157422,157926,157584,157149,156693,156900,157371,157790,158154,158551,159126,159459,159659,159820,158852,157590,156042,155475,155078,154805,154678,154125,153248,152129,151281,150732,150315,150366,150521,150834,151032,150986,151040,150799,150764,150658,151173,151557,151513,151257,151030,151378,151506,151556,151003,150190,149150,148256,147338,146828,146405,145906,145421,144732,144343,143768,143695,143550,143617,143479,143314,142919,142625,143006,143584,144257,144714,145284,146003,146432,146794,147112,147777,148445,149230,149906,150846,151804,152870,153967,155130,156057,157084,158228,159606,160833,161777,162825,163782,164738,165624,166704,167445,168178,168699,169683,170943,172377,173962,175504,177204,178909,180687,182468,184207,185365,186414,187578,189215,191091,192714,194402,195913,197714,199615,201437,203309,204634,206076,207591,209537,211599,213390,215249,216678,218300,219766,221324,222597,223858,225452,227260,229073,230693,232482,234459,236392,237913,239062,240174,241145,242343,243344,244415,245454,246752,248440,249560,250192,250235,250356,250358,250431,251119,252262,252813,253061,252958,253947,254880,256121,256727,257135,257735,258775,261100,263664,266725,269078,271644,273938,277273,281244,286699,293034,300267,307975,315776,322876,328878,334275,340078,347397,355789,363776,373139,381724,389176,391350,390417,388728,388858,388704,386853
394692,5,"Houston, TX",msa,TX,125560,125638,125520,125638,125645,125846,125974,126252,126606,126839,127355,127827,128076,128058,127603,127405,127348,127541,127704,127594,127689,127841,128061,128174,128306,128542,129091,129719,130317,130819,131325,131976,132507,132923,133197,133443,133822,134145,134548,134783,135018,135216,135431,135690,135849,136051,136196,136438,136907,138006,,141105,142423,142800,143783,144292,145134,145791,146442,147205,147893,148607,149142,149578,149769,150004,150110,150125,150063,149946,150102,150157,150326,150289,150503,150807,151484,152001,152588,153093,153746,154481,155097,155779,156103,156102,155896,156126,156656,157366,157765,158236,158571,158917,159125,159382,158873,158360,157764,157732,157494,157190,156926,156289,155483,154733,153834,152906,151929,151819,151849,152090,152331,152812,153392,153521,153315,152848,152849,153054,153052,153153,153500,154085,154456,154255,153410,152046,150908,150092,149600,149098,148525,147897,147042,146412,145924,145646,145526,145445,145246,144957,144092,143521,143330,143693,144283,144690,145204,145537,146084,146580,146915,146943,147236,147575,148380,149362,150982,152677,154270,155518,156787,158119,159465,160863,162159,163376,164761,166231,167461,168370,169199,170458,171828,173421,174955,176369,177698,179084,180630,182066,183679,185092,186487,187608,188326,188806,189297,190205,191058,191855,192868,193754,194303,194500,195080,195790,196481,196741,197000,197295,198246,199331,199993,200519,201041,201731,202176,202633,202908,203145,203462,204056,204803,205499,206167,206656,207160,208109,209114,210020,210590,211495,212467,213479,214260,214958,215926,216764,217252,217275,217373,217799,218270,218711,219015,219741,220467,221113,221064,221292,221889,222914,223504,223914,224368,225399,227311,229457,231847,234084,236386,239002,240894,243339,246494,251733,257515,263492,268342,272616,275765,279166,282603,286890,292215,298181,303726,307889,310472,311708,312069,312657,313283,312952
395209,6,"Washington, DC",msa,VA,190329,190571,190945,191739,192842,194055,195565,197197,198829,200462,202058,203922,205567,207068,208674,210703,213027,215380,217763,220220,222614,224871,227145,229407,231467,233399,235503,238063,241006,244190,247638,251244,254651,257736,260433,263099,265433,268175,271055,274345,277591,281039,284621,288146,291746,295351,298730,301840,304731,308307,312343,317318,322955,329410,336805,344199,351644,357560,362723,367840,373727,379537,385633,392883,401362,409637,417219,423855,430380,436172,440785,445011,448633,452434,456314,459560,461998,462858,463122,462594,460332,457227,454792,453317,452058,450727,449559,449050,447805,445135,441616,437999,435129,431588,427740,423175,419050,414492,409219,403396,396717,390481,383963,378038,371872,366480,361862,358007,353640,349420,345444,342289,340359,338942,337513,335723,333725,332642,332622,333829,335614,336552,337847,339202,340944,341177,340174,338468,337061,335859,334450,333478,333113,333927,334289,334437,333511,333037,331810,330725,329162,328213,328302,328448,328743,329261,330844,332342,333422,334373,335431,336278,336984,338512,340969,343706,346637,349309,351833,353997,356190,358078,359949,361887,364769,367610,370518,372374,374191,376112,377779,378948,378760,378288,377929,377444,377485,377627,378091,378390,378184,378859,379631,379919,379640,379233,379030,378613,378544,379160,379905,380944,381781,382045,382209,382971,384323,385138,385530,385788,386853,387925,389182,390660,392724,395343,396731,397467,396990,397316,397694,399024,400367,402216,404098,405323,406215,407150,408680,410328,411946,413374,414498,415308,416040,417076,418034,419665,421342,423266,424533,425303,425596,425847,425769,426624,427903,429863,431635,433040,434035,435140,436453,438350,439412,441001,443621,447655,452297,456883,461693,466277,470740,475507,481250,487987,495098,501780,506760,510318,512744,515584,518461,521828,525564,530557,536109,541462,545805,548084,548723,547685,547681,548808,550460,551220
394856,7,"Miami, FL",msa,FL,123584,124039,124446,125248,125908,126577,127278,128019,128803,129573,130411,131312,132176,133101,134212,135453,136886,138330,140030,141914,143888,145899,147615,149230,150672,152085,153413,154877,156418,158054,159785,161774,163639,165428,166995,169020,171023,173125,175251,177521,179874,182003,184105,186290,188667,190999,193283,195273,197568,199699,202147,204585,207778,211286,215110,219132,223177,227158,230830,234856,238700,242910,247463,252519,258218,264288,271055,277573,283852,289294,294087,298382,302681,306474,310789,316224,321550,326136,328834,330707,331716,331967,332493,332429,331915,331043,329168,326863,323934,320872,317233,313253,308921,305280,300613,296186,289954,284457,277694,272048,265864,260632,254455,247729,240508,233366,226876,221100,215762,211153,206296,201939,197237,193530,190144,187379,184821,183044,181675,180211,179333,178902,179003,178711,177987,176552,175144,173597,172262,170342,168788,167389,166084,164874,163795,163100,162136,161047,159936,159264,158906,158821,158937,159035,159433,159498,159947,160363,161167,162004,162901,164223,165887,167570,169021,170577,172716,175225,177949,180789,183492,185627,188064,190674,193743,196616,200139,203572,206906,209137,211192,212186,213662,214809,216687,218103,219596,221205,222233,223662,224825,226575,227638,228817,229746,230946,231934,233124,234681,236132,238036,239777,241697,243209,244390,245611,246938,248797,250741,252435,253709,255059,256655,258487,259934,261209,262023,263237,264449,265769,266945,268499,269926,271684,272741,274194,275087,276751,278532,280099,281776,283220,284915,285985,286823,287576,289450,291090,292713,292888,293424,293824,294102,294617,294920,295038,294968,295544,296288,296707,297443,299468,301378,302988,303995,304814,305446,306791,309071,311782,314282,317270,320539,323519,327303,330901,336522,342666,349940,357255,365266,373337,380888,388033,395946,403426,413495,424022,437311,448908,459445,465946,469861,471305,474405,475854
394974,8,"Philadelphia, PA",msa,PA,129133,129566,129826,130472,130995,131586,132129,132707,133349,134014,134619,135153,135695,136347,137095,137872,138592,139349,140220,141183,142209,143140,144130,144896,145712,146484,147471,148574,149703,150974,152312,154013,155810,157601,159095,160619,162033,163463,164788,166318,168024,169890,171906,174004,176123,178032,179813,181308,182782,184207,185851,187706,189968,192564,195486,198608,201387,203702,205629,207788,210144,212184,214115,216141,218841,221875,225062,228090,230854,233576,235936,238142,239732,241306,242848,244690,246526,248223,249598,250485,250938,251166,251139,250951,250619,250573,251080,251651,252496,252850,253068,252567,251920,251477,251085,250592,249622,249259,249142,249291,248582,247349,245607,243802,241868,240043,238427,236953,235578,234632,234226,234000,233463,232597,231420,230336,229291,228870,228823,228908,229086,229122,229305,229513,229840,229979,229521,228361,226663,224785,222914,221427,220315,219639,219025,218071,216694,215072,213610,212431,211270,210205,209235,208512,207757,207047,206757,206739,206681,206200,205511,204841,204435,204112,204031,203953,204249,204568,205118,205726,206624,207557,208447,209012,209623,210061,210628,210969,211555,212120,212491,212341,212356,212526,212808,212675,212501,212425,212600,212926,213246,213500,213852,214352,214628,214726,214770,215033,215239,215265,215243,215257,215512,215885,216165,216576,216999,217753,218259,218791,219224,219917,220632,221633,222713,223633,224304,224882,225513,225994,226324,226806,227462,228479,229504,230635,231553,232761,234222,235717,236692,237196,237665,238194,238986,239715,240763,241763,242793,243538,244396,245048,245675,245900,246330,246777,247248,247660,248162,249036,249957,250951,251451,252473,253280,254592,256204,258799,261941,265599,269098,272758,275970,279070,282151,285459,289785,294591,299096,302698,305546,307986,310454,312721,315255,317788,321019,324676,328973,332438,335051,336121,337277,338871,341120,343096
394347,9,"Atlanta, GA",msa,GA,153363,153873,154398,155461,156499,157525,158494,159545,160609,161753,162763,163866,164862,165847,166688,167496,168331,169112,169876,170651,171435,172199,172901,173598,174261,174961,175556,176178,176684,177193,177595,178018,178449,178923,179333,179669,180014,180343,180743,181077,181399,181691,181958,182325,182675,183019,183290,183635,183896,184212,184505,185016,185470,185864,186209,186700,187224,187766,188163,188584,189054,189605,190123,190703,191399,192188,192842,193460,194069,194704,195315,195923,196546,197127,197597,198094,198607,199249,199969,200623,201115,201436,201641,201980,202236,202566,202924,203368,203792,204032,204185,204116,203741,203139,202232,201457,200097,198706,197020,195947,194987,194000,192702,191190,189578,187683,185100,181828,178558,175741,173392,171036,168832,167014,165751,164760,163663,162422,161339,160657,159833,159129,158532,158594,158625,158371,156931,155029,152510,150529,148462,146697,144814,143387,141847,140157,137876,135813,134213,133477,133240,133144,132839,131735,131000,130373,131104,131830,132826,133798,134825,135357,135235,135333,136148,137286,138683,140245,142124,143849,145746,147706,149698,151884,154163,156439,158378,160365,162010,163490,164621,165770,166822,167714,168698,169455,170224,170933,171789,172723,173628,174447,175108,175965,177102,178337,179160,179924,180732,181623,182573,183552,184749,185903,187270,188697,189950,190774,191336,191857,192375,193352,194571,196285,197520,198864,199903,201116,202333,203711,205154,206316,207896,209421,211235,213146,215229,217252,218691,220069,221397,222832,224340,225860,227553,229288,230922,232422,233544,234637,235788,237023,238031,238434,238922,239630,240604,241401,242162,243248,244413,245896,246961,248019,248551,249410,250773,252892,255592,258556,261668,265004,268333,272249,276220,280994,286401,293164,300510,307922,314964,322358,329876,337668,345115,351890,359019,366420,373624,378969,381518,382512,382347,381795,381786,381245
